start_year,aldermanic_2022,privately_owned_parcels,foreclosures,foreclosures_per_1k
2005,13,NA,12,NA
2005,14,10781,23,2.133382803079492
2005,15,NA,106,NA
2006,1,10442,101,9.672476537061865
2006,2,9136,78,8.537653239929947
2006,3,6212,8,1.28783000643915
2006,4,2325,10,4.301075268817204
2006,5,NA,40,NA
2006,6,NA,91,NA
2006,7,11086,110,9.922424679776295
2006,8,6805,41,6.0249816311535636
2006,9,8131,45,5.53437461566843
2006,10,9903,34,3.433303039482985
2006,11,11026,17,1.5418102666424813
2006,12,6227,36,5.781275092339811
2006,13,NA,25,NA
2006,14,10810,31,2.8677150786308974
2006,15,8076,109,13.496780584447746
2007,1,NA,173,NA
2007,2,9138,138,15.101772816808928
2007,3,6342,13,2.0498265531378115
2007,4,2498,10,4.00320256204964
2007,5,NA,63,NA
2007,6,9035,164,18.15163254012175
2007,7,11091,228,20.557208547470925
2007,8,NA,66,NA
2007,9,8152,83,10.181550539744848
2007,10,9908,93,9.386354461041583
2007,11,11053,19,1.7189903193703069
2007,12,6401,68,10.62334010310889
2007,13,NA,41,NA
2007,14,10833,55,5.077079294747531
2007,15,8094,176,21.744502100321228
2008,1,10435,293,28.07858169621466
2008,2,9132,275,30.11388523872098
2008,3,6425,29,4.5136186770428015
2008,4,3187,31,9.727016002510199
2008,5,NA,122,NA
2008,6,9167,290,31.635213264972187
2008,7,11085,385,34.73161930536761
2008,8,NA,137,NA
2008,9,8180,133,16.25916870415648
2008,10,9932,141,14.196536447845348
2008,11,11072,59,5.328757225433526
2008,12,6270,130,20.73365231259968
2008,13,NA,62,NA
2008,14,10825,111,10.2540415704388
2008,15,8170,337,41.2484700122399
2009,1,10423,252,24.1773002014775
2009,2,9139,212,23.19728635518109
2009,3,6482,32,4.936747917309472
2009,4,NA,28,NA
2009,5,NA,109,NA
2009,6,9218,209,22.673031026252982
2009,7,11079,286,25.814604206155792
2009,8,6827,131,19.188516185733118
2009,9,8210,115,14.007308160779537
2009,10,9938,165,16.60293821694506
2009,11,11077,70,6.319400559718336
2009,12,6429,152,23.64286825322756
2009,13,NA,62,NA
2009,14,10856,113,10.408990420044214
2009,15,8223,239,29.06481819287365
2010,1,10405,289,27.775108121095627
2010,2,9136,265,29.006129597197898
2010,3,6575,36,5.475285171102661
2010,4,3524,61,17.309875141884223
2010,5,NA,131,NA
2010,6,9168,206,22.469458987783597
2010,7,11056,314,28.400868306801737
2010,8,6826,173,25.344271901552887
2010,9,NA,180,NA
2010,10,9932,159,16.008860249697946
2010,11,11079,76,6.859824893943497
2010,12,6418,147,22.9043315674665
2010,13,NA,95,NA
2010,14,10851,129,11.888305225324855
2010,15,8169,251,30.725915044681113
2011,1,NA,243,NA
2011,2,NA,239,NA
2011,3,6592,52,7.888349514563107
2011,4,3663,47,12.831012831012831
2011,5,11336,167,14.731827805222302
2011,6,NA,200,NA
2011,7,NA,244,NA
2011,8,NA,202,NA
2011,9,NA,153,NA
2011,10,NA,163,NA
2011,11,NA,87,NA
2011,12,6398,142,22.194435761175367
2011,13,10177,96,9.4330352756215
2011,14,NA,155,NA
2011,15,8022,204,25.430067314884067
2012,1,10353,314,30.32937312856177
2012,2,9120,274,30.04385964912281
2012,3,6584,54,8.201701093560146
2012,4,3658,73,19.956260251503554
2012,5,11338,162,14.288234256482625
2012,6,9115,217,23.806911684037303
2012,7,NA,343,NA
2012,8,6815,162,23.771093176815846
2012,9,8434,202,23.9506758359023
2012,10,NA,144,NA
2012,11,11086,102,9.200793793974382
2012,12,6342,150,23.651844843897823
2012,13,10177,114,11.201729389800532
2012,14,10850,187,17.235023041474655
2012,15,NA,276,NA
2013,1,10285,302,29.363150218765192
2013,2,9102,258,28.345418589321028
2013,3,6588,50,7.589556769884639
2013,4,3673,28,7.623196297304656
2013,5,11335,181,15.968239964711074
2013,6,9024,185,20.500886524822697
2013,7,NA,326,NA
2013,8,6807,177,26.00264433671221
2013,9,8434,178,21.105050984111926
2013,10,NA,157,NA
2013,11,11088,90,8.116883116883116
2013,12,6327,114,18.01801801801802
2013,13,10170,128,12.586037364798427
2013,14,NA,156,NA
2013,15,7909,218,27.563535213048425
2014,1,10191,218,21.391423805318418
2014,2,9083,193,21.248486182979192
2014,3,6484,26,4.009870450339297
2014,4,3661,30,8.19448238186288
2014,5,11332,125,11.030709495234733
2014,6,8868,142,16.01262967974741
2014,7,NA,233,NA
2014,8,6786,100,14.736221632773358
2014,9,8435,144,17.071724955542383
2014,10,NA,108,NA
2014,11,11090,76,6.85302073940487
2014,12,6281,95,15.124980098710397
2014,13,10170,62,6.0963618485742375
2014,14,NA,82,NA
2014,15,7731,175,22.63614021471996
2015,1,10183,222,21.801040950603948
2015,2,9081,160,17.619204933377382
2015,3,6481,22,3.3945378799567965
2015,4,3626,22,6.067291781577496
2015,5,11333,102,9.000264713668049
2015,6,8749,158,18.0592067664876
2015,7,NA,204,NA
2015,8,6783,93,13.710747456877488
2015,9,8453,144,17.035372057257778
2015,10,9902,85,8.58412441930923
2015,11,11088,63,5.681818181818182
2015,12,6268,82,13.082322910019146
2015,13,10167,68,6.688305301465525
2015,14,10811,57,5.272407732864675
2015,15,7651,196,25.617566331198535
2016,1,10200,221,21.666666666666668
2016,2,9092,163,17.92784865816102
2016,3,6476,14,2.1618282890673255
2016,4,3621,18,4.971002485501243
2016,5,11335,97,8.557565063961182
2016,6,8714,200,22.951572182694516
2016,7,NA,202,NA
2016,8,6786,93,13.704686118479222
2016,9,8463,106,12.525109299302848
2016,10,NA,106,NA
2016,11,11087,55,4.960764859745648
2016,12,NA,81,NA
2016,13,10170,52,5.113077679449361
2016,14,10808,68,6.291635825314581
2016,15,7602,177,23.283346487766376
2017,1,10189,198,19.43272156246933
2017,2,9093,127,13.966787638843067
2017,3,6469,7,1.0820837842015767
2017,4,3601,15,4.165509580672035
2017,5,NA,88,NA
2017,6,8634,136,15.751679406995597
2017,7,10756,197,18.315358869468202
2017,8,6787,57,8.39840872255783
2017,9,NA,98,NA
2017,10,NA,90,NA
