start_year,tract_2010,parcels,foreclosures,foreclosures_per_1k
1995,55079017600,437,2,4.576659038901602
1995,55079017900,682,3,4.398826979472141
1995,55079018000,658,1,1.5197568389057752
1995,55079018100,703,1,1.4224751066856332
1995,55079018300,632,3,4.746835443037975
1995,55079018400,440,1,2.2727272727272725
1995,55079018500,603,1,1.658374792703151
1995,55079018700,542,4,7.380073800738007
1995,55079018800,346,3,8.670520231213873
1995,55079019100,612,1,1.6339869281045751
1995,55079019200,1146,1,0.8726003490401396
1995,55079019500,1015,1,0.9852216748768472
1995,55079019900,994,1,1.006036217303823
1995,55079020200,955,1,1.0471204188481678
1995,55079020400,626,2,3.1948881789137378
1995,55079020700,1401,1,0.7137758743754461
1995,55079020800,1040,1,0.9615384615384616
1995,55079021400,412,1,2.4271844660194173
1995,55079021600,1231,2,1.6246953696181965
1995,55079021800,468,2,4.273504273504274
1995,55079185400,430,5,11.627906976744185
1995,55079185500,331,4,12.084592145015106
1995,55079185600,360,4,11.11111111111111
1995,55079185700,478,7,14.644351464435147
1995,55079185800,336,1,2.976190476190476
1995,55079185900,209,3,14.354066985645934
1995,55079186100,284,2,7.042253521126761
1995,55079186600,403,10,24.81389578163772
1996,55079000101,602,2,3.3222591362126246
1996,55079000102,931,1,1.0741138560687433
1996,55079000201,869,9,10.356731875719216
1996,55079000202,1152,1,0.8680555555555555
1996,55079000301,647,2,3.0911901081916535
1996,55079000302,394,4,10.15228426395939
1996,55079000303,453,2,4.415011037527594
1996,55079000501,733,1,1.364256480218281
1996,55079000502,455,2,4.395604395604396
1996,55079000600,1452,3,2.066115702479339
1996,55079000700,969,7,7.223942208462332
1996,55079000800,1184,5,4.222972972972973
1996,55079000900,656,3,4.573170731707317
1996,55079001000,986,3,3.0425963488843815
1996,55079001100,516,1,1.937984496124031
1996,55079001200,470,2,4.25531914893617
1996,55079001300,906,6,6.622516556291391
1996,55079001400,327,1,3.058103975535168
1996,55079001500,601,4,6.655574043261232
1996,55079001600,606,2,3.3003300330033003
1996,55079001900,845,2,2.366863905325444
1996,55079002000,713,8,11.220196353436185
1996,55079002100,574,3,5.226480836236934
1996,55079002200,573,1,1.7452006980802792
1996,55079002300,1133,4,3.53045013239188
1996,55079002400,537,5,9.31098696461825
1996,55079002500,555,5,9.00900900900901
1996,55079002600,840,17,20.23809523809524
1996,55079002700,624,1,1.6025641025641024
1996,55079002800,576,4,6.944444444444444
1996,55079002900,662,7,10.574018126888218
1996,55079003000,1197,4,3.341687552213868
1996,55079003100,1050,6,5.714285714285714
1996,55079003200,846,2,2.3640661938534278
1996,55079003400,1424,1,0.7022471910112359
1996,55079003500,1045,3,2.8708133971291865
1996,55079003600,545,2,3.669724770642202
1996,55079003700,776,1,1.288659793814433
1996,55079003800,676,4,5.9171597633136095
1996,55079003900,783,7,8.939974457215836
1996,55079004000,543,3,5.524861878453039
