start_year,neighborhood,parcels,foreclosures,foreclosures_per_1k
1995,ROOT CREEK,479,0,0
1995,RUFUS KING,1358,9,6.627393225331369
1995,SAINT JOSEPH,1633,12,7.348438456827924
1995,SAVELAND PARK,585,1,1.7094017094017093
1995,SERVITE WOODS,403,1,2.4813895781637716
1995,SHERMAN PARK,1685,28,16.61721068249258
1995,SILVER CITY,789,2,2.5348542458808616
1995,SILVER SPRING,2462,13,5.280259951259139
1995,SILVER SWAN,399,2,5.012531328320802
1995,SOUTHGATE,474,0,0
1995,SOUTHPOINT,536,1,1.8656716417910448
1995,ST. AMELIAN'S,581,0,0
1995,STORY HILL,512,0,0
1995,SUNSET HEIGHTS,1241,7,5.640612409347301
1995,THE VALLEY / PIGSVILLE,157,0,0
1995,THURSTON WOODS,1169,6,5.132591958939265
1995,TIMMERMAN AIRPORT,51,0,0
1995,TIMMERMAN WEST,957,2,2.0898641588296765
1995,TIPPECANOE,1999,0,0
1995,TOWN & COUNTRY MANOR,607,4,6.589785831960461
1995,TOWN OF LAKE,1859,0,0
1995,TRIANGLE,122,3,24.59016393442623
1995,TRIANGLE NORTH,214,1,4.672897196261682
1995,TRIPOLI PARK,236,0,0
1995,UPPER EAST SIDE,837,0,0
1995,UPTOWN,1422,9,6.329113924050633
1995,VALHALLA,563,1,1.7761989342806395
1995,VALLEY FORGE,54,0,0
1995,VETERANS AFFAIRS,1,0,0
1995,VOGEL PARK,370,2,5.405405405405405
1995,WAHL PARK,847,10,11.806375442739078
1995,WALKER'S POINT,1207,7,5.799502899751451
1995,WALNUT HILL,516,9,17.441860465116278
1995,WASHINGTON HEIGHTS,1988,3,1.5090543259557343
1995,WASHINGTON PARK,1151,30,26.064291920069504
1995,WEDGEWOOD,477,0,0
1995,WEST VIEW,369,0,0
1995,WHISPERING HILLS,213,0,0
1995,WHITE MANOR,580,0,0
1995,WICK FIELD,160,0,0
1995,WILLIAMSBURG,614,9,14.657980456026058
1995,WILSON PARK,633,0,0
1995,WOODLAND COURT,135,0,0
1995,WOODLANDS,625,10,16
1995,WYRICK PARK,236,1,4.237288135593221
1995,YANKEE HILL,168,1,5.952380952380952
1996,ALCOTT PARK,478,0,0
1996,ALVERNO,52,0,0
1996,AMANI,1717,13,7.571345369831101
1996,ARLINGTON GARDENS,736,1,1.358695652173913
1996,ARLINGTON HEIGHTS,1235,5,4.048582995951417
1996,AVENUES WEST,267,0,0
1996,BARAN PARK,88,0,0
1996,BAY VIEW,4976,5,1.0048231511254018
1996,BLUEMOUND HEIGHTS,976,0,0
1996,BORCHERT FIELD,1042,9,8.637236084452976
1996,BRADLEY ESTATES,969,7,7.223942208462332
1996,BREWER'S HILL,336,1,2.976190476190476
1996,BUCHEL PARK,13,0,0
1996,BURNHAM PARK,1333,4,3.000750187546887
1996,CALUMET FARMS,245,0,0
1996,CAMBRIDGE HEIGHTS,473,1,2.1141649048625792
1996,CANNON PARK,429,0,0
1996,CAPITOL HEIGHTS,1649,4,2.4257125530624624
1996,CASTLE MANOR,708,0,0
1996,CLARKE SQUARE,994,6,6.036217303822937
1996,CLAYTON CREST,529,0,0
1996,CLOCK TOWER ACRES,301,0,0
1996,COLD SPRING PARK,276,5,18.115942028985508
1996,COLLEGE HEIGHTS,373,0,0
1996,COLUMBUS PARK,1117,2,1.7905102954341987
1996,CONCORDIA,173,1,5.780346820809248
1996,COOPER PARK,1209,0,0
1996,COPERNICUS PARK,469,0,0
1996,DINEEN PARK,909,1,1.1001100110011
1996,DOWNER WOODS,634,0,0
1996,DRETZKA PARK,13,0,0
1996,ENDERIS PARK,917,1,1.0905125408942202
1996,ESTABROOK PARK,9,0,0
1996,EUCLID PARK,431,0,0
1996,FAIR PARK,420,0,0
1996,FAIRFIELD,333,1,3.003003003003003
1996,FAIRVIEW,1380,0,0
1996,FERNWOOD,1049,0,0
1996,FLORIST HIGHLANDS,259,0,0
1996,FOREST HOME HILLS,768,4,5.208333333333333
1996,FRANKLIN HEIGHTS,2238,13,5.80875781948168
1996,FREEDOM VILLAGE,14,0,0
1996,GARDEN HOMES,599,4,6.67779632721202
1996,GOLDEN GATE,266,0,0
1996,GOLDEN VALLEY,1060,1,0.9433962264150944
1996,GOLDMAN PARK,523,0,0
1996,GRA-RAM,478,0,0
1996,GRACELAND,779,2,2.567394094993581
1996,GRANTOSA,355,0,0
1996,GRANVILLE STATION,248,0,0
1996,GRANVILLE WOODS,3,0,0
1996,GRASSLYN MANOR,1578,5,3.168567807351077
1996,GREEN MOOR,185,0,0
1996,GROVER HEIGHTS,108,2,18.51851851851852
1996,HALYARD PARK,95,0,0
1996,HAMPTON HEIGHTS,2110,15,7.109004739336492
1996,HARAMBEE,2567,15,5.84339696143358
1996,HARBOR VIEW,9,0,0
1996,HARDER'S OAKS,149,0,0
1996,HAVENWOODS,178,1,5.617977528089887
1996,HAWLEY FARMS,597,0,0
1996,HAWTHORNE GLEN,122,0,0
1996,HERITAGE HEIGHTS,33,1,30.303030303030305
1996,HIGHWOOD ESTATES,500,0,0
1996,HILLSIDE,40,0,0
1996,HILLTOP PARISH,1,0,0
1996,HISTORIC MITCHELL STREET,1658,10,6.031363088057901
1996,HISTORIC THIRD WARD,1,0,0
1996,HOLLER PARK,165,0,0
1996,HONEY CREEK MANOR,833,1,1.2004801920768307
1996,HONEY CREEK PARKWAY,426,0,0
1996,JACKSON PARK,2380,0,0
1996,JOHNSON'S WOODS,910,2,2.197802197802198
1996,JUNEAU TOWN,295,0,0
1996,KILBOURN TOWN,1,0,0
1996,KING PARK,178,1,5.617977528089887
1996,KOPS PARK,1166,2,1.7152658662092624
1996,LAND BANK,18,0,0
1996,LAYTON PARK,1599,2,1.2507817385866167
1996,LENOX HEIGHTS,454,1,2.2026431718061676
1996,LINCOLN CREEK,1960,9,4.591836734693878
1996,LINCOLN PARK,1419,4,2.8188865398167726
1996,LINCOLN VILLAGE,1985,7,3.526448362720403
1996,LINDSAY PARK,1052,0,0
1996,LITTLE MENOMONEE PARKWAY,263,2,7.604562737642586
1996,LONG VIEW,912,0,0
1996,LOWER EAST SIDE,1120,1,0.8928571428571428
1996,LYONS PARK,519,0,0
1996,MACK ACRES,68,0,0
1996,MAITLAND PARK,320,0,0
1996,MAPLE TREE,361,3,8.310249307479225
1996,MARTIN DRIVE,417,1,2.398081534772182
1996,MC GOVERN PARK,1061,6,5.655042412818096
1996,MELODY VIEW,193,0,0
1996,MENOMONEE RIVER HILLS,1819,2,1.0995052226498077
1996,MENOMONEE RIVER HILLS EAST,635,2,3.149606299212598
1996,MENOMONEE RIVER VALLEY,5,0,0
1996,MERRILL PARK,533,3,5.628517823639775
1996,METCALFE PARK,654,9,13.761467889908257
1996,MIDTOWN,1279,4,3.127443315089914
1996,MILL VALLEY,328,0,0
1996,MILLER VALLEY,109,0,0
1996,MILWAUKEE RIVER PARKWAY,228,1,4.385964912280701
1996,MITCHELL FIELD,73,0,0
1996,MITCHELL PARK,8,0,0
1996,MITCHELL WEST,871,0,0
1996,MORGAN HEIGHTS,538,1,1.858736059479554
1996,MORGANDALE,2478,2,0.8071025020177562
1996,MOUNT MARY,694,0,0
1996,MOUNT OLIVET,56,0,0
1996,MURRAY HILL,640,1,1.5625
1996,MUSKEGO WAY,1902,17,8.937960042060988
1996,"NASH PARK",845,0,0
1996,"NATIONAL PARK",457,2,4.3763676148796495
1996,NEW COELN,158,0,0
1996,NORTH DIVISION,1954,17,8.700102354145343
1996,NORTH GRANVILLE,29,0,0
1996,NORTHPOINT,508,0,0
1996,NORTHRIDGE,216,0,0
1996,NORTHRIDGE LAKES,297,1,3.3670033670033668
1996,OLD NORTH MILWAUKEE,3111,38,12.214721954355513
1996,PARK KNOLL,364,2,5.4945054945054945
1996,PARK PLACE,35,0,0
1996,PARK VIEW,135,0,0
1996,PARKWAY HILLS,152,0,0
1996,PHEASANT RUN,478,1,2.092050209205021
1996,POLLBER HEIGHTS,74,0,0
1996,POLONIA,1002,0,0
1996,RED OAK HEIGHTS,226,0,0
1996,RIDGEVIEW,88,1,11.363636363636363
1996,RIVER BEND,499,0,0
1996,RIVERSIDE PARK,227,1,4.405286343612335
1996,RIVERTON HEIGHTS,348,0,0
1996,RIVERWEST,2524,8,3.1695721077654517
1996,ROLLING GREEN,492,0,0
1996,ROOSEVELT GROVE,1481,11,7.427413909520594
1996,ROOT CREEK,480,0,0
1996,RUFUS KING,1363,10,7.336757153338224
1996,SAINT JOSEPH,1632,12,7.352941176470588
1996,SAVELAND PARK,586,1,1.7064846416382253
1996,SERVITE WOODS,403,1,2.4813895781637716
1996,SHERMAN PARK,1681,22,13.087447947650208
1996,SILVER CITY,791,3,3.7926675094816686
1996,SILVER SPRING,2462,11,4.467912266450041
1996,SILVER SWAN,398,2,5.025125628140704
1996,SOUTHGATE,474,0,0
1996,SOUTHPOINT,536,1,1.8656716417910448
1996,ST. AMELIAN'S,581,1,1.721170395869191
1996,STORY HILL,512,1,1.953125
1996,SUNSET HEIGHTS,1241,7,5.640612409347301
1996,THE VALLEY / PIGSVILLE,157,1,6.369426751592357
1996,THURSTON WOODS,1169,3,2.5662959794696323
1996,TIMMERMAN AIRPORT,51,0,0
1996,TIMMERMAN WEST,956,1,1.0460251046025104
1996,TIPPECANOE,2002,4,1.998001998001998
1996,TOWN & COUNTRY MANOR,607,3,4.942339373970346
1996,TOWN OF LAKE,1860,0,0
1996,TRIANGLE,116,1,8.620689655172413
1996,TRIANGLE NORTH,213,0,0
1996,TRIPOLI PARK,237,0,0
1996,UPPER EAST SIDE,839,0,0
1996,UPTOWN,1419,21,14.799154334038054
1996,VALHALLA,562,2,3.558718861209964
1996,VALLEY FORGE,54,0,0
1996,VETERANS AFFAIRS,1,0,0
1996,VOGEL PARK,370,0,0
1996,WAHL PARK,847,4,4.7225501770956315
1996,WALKER'S POINT,1204,7,5.813953488372093
1996,WALNUT HILL,510,6,11.76470588235294
1996,WASHINGTON HEIGHTS,1989,7,3.519356460532931
1996,WASHINGTON PARK,1127,25,22.182786157941436
1996,WEDGEWOOD,477,0,0
1996,WEST VIEW,369,0,0
