start_year,tract_2020,privately_owned_parcels,foreclosures,foreclosures_per_1k
1995,55079017600,437,2,4.576659038901602
1995,55079017900,676,3,4.437869822485207
1995,55079018000,659,1,1.5174506828528074
1995,55079018100,702,1,1.4245014245014245
1995,55079018300,659,3,4.552352048558422
1995,55079018400,419,1,2.3866348448687353
1995,55079018500,603,1,1.658374792703151
1995,55079018700,542,4,7.380073800738007
1995,55079018800,345,3,8.695652173913043
1995,55079019100,610,1,1.639344262295082
1995,55079019200,1142,1,0.8756567425569177
1995,55079019500,1015,1,0.9852216748768472
1995,55079019900,1008,1,0.992063492063492
1995,55079020200,955,1,1.0471204188481678
1995,55079020400,626,2,3.1948881789137378
1995,55079020700,1416,1,0.7062146892655368
1995,55079020800,1060,1,0.9433962264150944
1995,55079021400,412,1,2.4271844660194173
1995,55079021600,1231,2,1.6246953696181965
1995,55079021800,475,2,4.2105263157894735
1995,55079185400,430,5,11.627906976744185
1995,55079185500,327,4,12.232415902140673
1995,55079185600,360,4,11.11111111111111
1995,55079185700,474,7,14.767932489451477
1995,55079185800,327,1,3.058103975535168
1995,55079185900,207,3,14.492753623188406
1995,55079186100,286,2,6.993006993006993
1995,55079186600,403,10,24.81389578163772
1996,55079000101,602,2,3.3222591362126246
1996,55079000102,932,1,1.0729613733905579
1996,55079000201,869,9,10.356731875719216
1996,55079000202,1152,1,0.8680555555555555
1996,55079000301,647,2,3.0911901081916535
1996,55079000302,394,4,10.15228426395939
1996,55079000303,453,2,4.415011037527594
1996,55079000501,733,1,1.364256480218281
1996,55079000502,455,2,4.395604395604396
1996,55079000600,1466,3,2.0463847203274215
1996,55079000700,969,7,7.223942208462332
1996,55079000800,1184,5,4.222972972972973
1996,55079000900,656,3,4.573170731707317
1996,55079001000,984,3,3.048780487804878
1996,55079001100,515,1,1.941747572815534
1996,55079001200,470,2,4.25531914893617
1996,55079001300,905,6,6.629834254143646
1996,55079001400,327,1,3.058103975535168
1996,55079001500,601,4,6.655574043261232
1996,55079001600,606,2,3.3003300330033003
