year_end,tract_2020,parcels,city_owned
1991,55079000600,1465,0
1991,55079000700,995,0
1991,55079000800,1184,0
1991,55079000900,659,1
1991,55079001000,986,0
1991,55079001100,517,1
1991,55079001200,471,0
1991,55079001300,907,0
1991,55079001400,328,0
1991,55079001500,601,0
1991,55079001600,607,0
1991,55079001700,956,0
1991,55079001800,580,0
1991,55079001900,845,0
1991,55079002000,714,0
1991,55079002100,573,0
1991,55079002200,579,0
1991,55079002300,1132,1
1991,55079002400,542,1
1991,55079002500,558,0
1991,55079002600,841,1
1991,55079002700,625,0
1991,55079002800,577,0
1991,55079002900,664,0
1991,55079003000,1198,1
1991,55079003100,1058,0
1991,55079003200,846,0
1991,55079003300,1144,0
1991,55079003400,1421,0
1991,55079003500,1047,0
1991,55079003600,547,0
1991,55079003700,773,0
1991,55079003800,675,1
1991,55079003900,783,0
1991,55079004000,544,0
1991,55079004100,807,0
1991,55079004200,693,1
1991,55079004300,1471,6
1991,55079004400,481,1
1991,55079004500,660,4
1991,55079004600,772,0
1991,55079004700,1091,4
1991,55079004800,1010,5
1991,55079004900,1202,0
1991,55079005000,1372,1
1991,55079005100,728,0
1991,55079005200,572,0
1991,55079005300,708,0
1991,55079005400,1372,0
1991,55079005500,1205,0
1991,55079005600,778,0
1991,55079005700,857,0
1991,55079005800,968,0
1991,55079005900,936,0
1991,55079006000,521,0
1991,55079006100,573,0
1991,55079006200,606,4
1991,55079006300,663,6
1991,55079006400,694,4
1991,55079006500,686,3
1991,55079006600,896,8
1991,55079006700,377,3
1991,55079006800,710,3
1991,55079006900,587,2
1991,55079007000,660,4
1991,55079007100,479,0
1991,55079007200,780,0
1991,55079007300,544,0
1991,55079007400,420,0
1991,55079007500,722,0
1991,55079007600,372,0
1991,55079007700,486,0
1991,55079007800,549,0
1991,55079007900,390,0
1991,55079008000,430,1
1991,55079008100,316,1
1991,55079008400,376,5
1991,55079008500,330,2
1991,55079008600,404,3
1991,55079008700,424,9
1991,55079008800,528,8
1991,55079008900,418,2
1991,55079009000,547,8
1991,55079009100,570,3
1991,55079009200,371,2
1991,55079009300,725,0
1991,55079009400,750,0
1991,55079009500,625,0
1991,55079009600,563,4
1991,55079009700,366,6
1991,55079009800,364,3
1991,55079009900,424,4
1991,55079010600,271,1
1991,55079010700,415,1
1991,55079010800,261,0
1991,55079011000,329,0
1991,55079011100,118,0
1991,55079011200,294,2
1991,55079011300,119,0
1991,55079011400,88,0
1991,55079012200,467,3
1991,55079012300,189,0
1991,55079012400,632,1
1991,55079012500,559,0
1991,55079012600,709,0
1991,55079012700,426,0
1991,55079012800,625,0
1991,55079012900,911,0
1991,55079013000,478,0
1991,55079013300,299,0
