year_end,tract_2010,parcels
1991,55079004900,1202
1991,55079005000,1372
1991,55079005100,728
1991,55079005200,572
1991,55079005300,708
1991,55079005400,1372
1991,55079005500,1207
1991,55079005600,778
1991,55079005700,857
1991,55079005800,968
1991,55079005900,916
1991,55079006000,521
1991,55079006100,573
1991,55079006200,606
1991,55079006300,663
1991,55079006400,694
1991,55079006500,686
1991,55079006600,896
1991,55079006700,377
1991,55079006800,710
1991,55079006900,587
1991,55079007000,660
1991,55079007100,479
1991,55079007200,780
1991,55079007300,544
1991,55079007400,420
1991,55079007500,722
1991,55079007600,358
1991,55079007700,486
1991,55079007800,549
1991,55079007900,390
1991,55079008000,430
1991,55079008100,316
1991,55079008400,376
1991,55079008500,330
1991,55079008600,404
1991,55079008700,424
1991,55079008800,527
1991,55079008900,415
1991,55079009000,547
1991,55079009100,570
1991,55079009200,371
1991,55079009300,725
1991,55079009400,750
1991,55079009500,625
1991,55079009600,563
1991,55079009700,366
1991,55079009800,367
1991,55079009900,432
1991,55079010600,271
1991,55079010700,415
1991,55079010800,244
1991,55079011000,329
1991,55079011100,118
1991,55079011200,305
1991,55079011300,119
1991,55079011400,88
1991,55079012200,467
1991,55079012300,189
1991,55079012400,632
1991,55079012500,559
1991,55079012600,699
1991,55079012700,426
1991,55079012800,625
1991,55079012900,911
1991,55079013000,493
1991,55079013300,299
1991,55079013400,358
1991,55079013500,53
1991,55079013600,165
1991,55079013700,120
1991,55079014300,230
1991,55079014400,21
1991,55079014600,85
1991,55079014700,73
1991,55079014800,84
1991,55079014900,124
1991,55079015700,489
1991,55079015800,408
1991,55079015900,498
1991,55079016000,499
1991,55079016100,615
1991,55079016200,537
1991,55079016300,789
1991,55079016400,684
1991,55079016500,436
1991,55079016600,325
1991,55079016700,450
1991,55079016800,495
1991,55079016900,635
1991,55079017000,964
1991,55079017100,483
1991,55079017200,468
1991,55079017300,672
1991,55079017400,421
1991,55079017500,616
1991,55079017600,435
1991,55079017900,683
1991,55079018000,655
1991,55079018100,708
1991,55079018200,535
1991,55079018300,642
1991,55079018400,441
1991,55079018500,603
1991,55079018600,462
