year_end,aldermanic_2022,parcels,city_owned
2008,1,10440,17
2008,2,9139,0
2008,3,6483,1
2008,4,3472,NA
2008,5,11340,NA
2008,6,9240,22
2008,7,11095,16
2008,8,6828,1
2008,9,8242,32
2008,10,9940,2
2008,11,11077,0
2008,12,6439,10
2008,13,10176,NA
2008,14,10857,1
2008,15,8253,30
2009,1,10428,23
2009,2,9139,3
2009,3,6578,3
2009,4,3531,7
2009,5,11342,NA
2009,6,9225,57
2009,7,11086,30
2009,8,6830,4
2009,9,8436,NA
2009,10,9936,4
2009,11,11080,1
2009,12,6432,14
2009,13,10175,NA
2009,14,10856,5
2009,15,8227,58
2010,1,10415,NA
2010,2,9134,NA
2010,3,6593,1
2010,4,3673,10
2010,5,11340,4
2010,6,9273,NA
2010,7,11069,NA
2010,8,6831,NA
2010,9,8454,NA
2010,10,9938,NA
2010,11,11084,NA
2010,12,6416,18
2010,13,10179,2
2010,14,10867,NA
2010,15,8148,126
2011,1,10378,25
2011,2,9129,9
2011,3,6586,2
2011,4,3667,9
2011,5,11340,2
2011,6,9174,59
2011,7,11008,NA
2011,8,6821,6
2011,9,8465,31
2011,10,9936,NA
2011,11,11086,0
2011,12,6350,8
2011,13,10177,0
2011,14,10853,3
2011,15,8018,NA
2012,1,10361,76
2012,2,9116,14
2012,3,6588,0
2012,4,3685,12
2012,5,11340,5
2012,6,9104,80
2012,7,10965,NA
2012,8,6815,8
2012,9,8476,42
2012,10,9919,NA
2012,11,11088,0
2012,12,6337,10
2012,13,10171,1
2012,14,10841,NA
2012,15,7981,72
2013,1,10284,93
2013,2,9109,26
2013,3,6486,2
2013,4,3669,8
2013,5,11338,6
2013,6,9018,150
2013,7,10886,NA
2013,8,6801,15
2013,9,8474,39
2013,10,9911,NA
2013,11,11091,1
2013,12,6314,33
2013,13,10171,1
2013,14,10826,NA
2013,15,7866,135
2014,1,10240,57
2014,2,9096,15
2014,3,6482,1
2014,4,3636,10
2014,5,11337,4
2014,6,8848,99
2014,7,10823,NA
2014,8,6792,9
2014,9,8480,27
2014,10,9910,8
2014,11,11089,1
2014,12,6293,25
2014,13,10171,4
2014,14,10815,4
2014,15,7773,122
2015,1,10261,61
2015,2,9107,15
2015,3,6478,2
2015,4,3629,8
2015,5,11338,3
2015,6,8824,110
2015,7,10810,NA
2015,8,6798,12
2015,9,8482,19
2015,10,9913,NA
2015,11,11088,1
2015,12,6290,NA
2015,13,10172,2
2015,14,10810,2
2015,15,7735,133
2016,1,10244,55
2016,2,9104,11
2016,3,6470,1
2016,4,3606,5
2016,5,11338,NA
